2020-05-07
2020-05-11,BRIMBANK,58,16
2020-05-11,CASEY,56,1
2020-05-11,MORELAND,54,3
2020-05-11,GLEN EIRA,49,4
2020-05-11,PORT PHILLIP,48,2
2020-05-11,WYNDHAM,47,11
2020-05-11,MONASH,46,1
2020-05-11,HUME,42,5
2020-05-11,DAREBIN,38,3
2020-05-11,FRANKSTON,38,1
2020-05-11,MOONEE VALLEY,36,0
2020-05-11,BAYSIDE,31,0
2020-05-11,MANNINGHAM,29,0
2020-05-11,YARRA,29,5
2020-05-11,MELTON,28,7
2020-05-11,WHITTLESEA,30,7
2020-05-11,KINGSTON,26,0
2020-05-11,NILLUMBIK,25,2
2020-05-11,WHITEHORSE,23,1
2020-05-11,YARRA RANGES,22,1
2020-05-11,HOBSONS BAY,18,3
2020-05-11,CARDINIA,16,3
2020-05-11,GREATER DANDENONG,15,
2020-05-11,MARIBYRNONG,15,4
2020-05-11,KNOX,13,1
2020-05-11,MAROONDAH,13,2
2020-05-11,MOIRA,11,0
2020-05-11,WELLINGTON,11,1
2020-05-11,GREATER SHEPPARTON,11,1
2020-05-11,SURF COAST,10,0
2020-05-11,BALLARAT,9,0
2020-05-11,GREATER BENDIGO,9,0
2020-05-11,MITCHELL,9,0
2020-05-11,MACEDON RANGES,8,1
2020-05-11,LATROBE,7,0
2020-05-11,MOUNT ALEXANDER,6,0
2020-05-11,BAW BAW,5,0
2020-05-11,MILDURA,5,0
2020-05-11,SOUTH GIPPSLAND,5,0
2020-05-11,WARRNAMBOOL,5,0
2020-05-11,BASS COAST,4,0
2020-05-11,BENALLA,3,0
2020-05-11,HORSHAM,3,0
2020-05-11,LODDON,3,0
2020-05-11,MANSFIELD,3,0
2020-05-11,NORTHERN GRAMPIANS,3,0
2020-05-11,SWAN HILL,3,0
2020-05-11,CAMPASPE,2,0
2020-05-11,HEPBURN,2,0
2020-05-11,MOORABOOL,2,1
2020-05-11,SOUTHERN GRAMPIANS,2,0
2020-05-11,STRATHBOGIE,2,0
2020-05-11,WANGARATTA,2,0
2020-05-11,ARARAT,4*,0
2020-05-11,CENTRAL GOLDFIELDS,1,0
2020-05-11,CORANGAMITE,1,0
2020-05-11,EAST GIPPSLAND,1,0
2020-05-11,GANNAWARRA,1,0
2020-05-11,GLENELG,1,0
2020-05-11,GOLDEN PLAINS,1,0
2020-05-11,MOYNE,1,0
2020-05-11,MURRINDINDI,1,0
2020-05-11,WEST WIMMERA,1,0
2020-05-11,WODONGA,1,0
2020-05-11,YARRIAMBIACK,1,0
2020-05-11,INTERSTATE,31,2
2020-05-11,OVERSEAS,7,0
2020-05-11,UNKNOWN,3,4
2020-05-12,LGA,Confirmed cases (ever),Active cases (current)
2020-05-12,STONNINGTON,91,2
2020-05-12,BANYULE,88,3
2020-05-12,MELBOURNE,81,7
2020-05-12,BOROONDARA,65,4
2020-05-12,GREATER GEELONG,64,
2020-05-12,MORNINGTON PENINSULA,61,2
2020-05-12,BRIMBANK,60,18
2020-05-12,CASEY,56,1
2020-05-12,MORELAND,56,5
2020-05-12,WYNDHAM,51,13
2020-05-12,GLEN EIRA,49,3
2020-05-12,PORT PHILLIP,48,2
2020-05-12,MONASH,46,1
2020-05-12,HUME,43,6
2020-05-12,DAREBIN,38,2
2020-05-12,FRANKSTON,38,1
2020-05-12,MOONEE VALLEY,36,
2020-05-12,BAYSIDE,31,
2020-05-12,MELTON,30,9
2020-05-12,WHITTLESEA,30,6
2020-05-12,MANNINGHAM,29,
2020-05-12,YARRA,29,5
2020-05-12,KINGSTON,26,
2020-05-12,NILLUMBIK,25,1
2020-05-12,WHITEHORSE,23,1
2020-05-12,YARRA RANGES,22,1
2020-05-12,HOBSONS BAY,20,4
2020-05-12,CARDINIA,16,2
2020-05-12,MARIBYRNONG,16,4
2020-05-12,GREATER DANDENONG,15,
2020-05-12,MAROONDAH,14,3
2020-05-12,KNOX,13,1
2020-05-12,GREATER SHEPPARTON,11,1
2020-05-12,MOIRA,11,
2020-05-12,WELLINGTON,11,1
2020-05-12,SURF COAST,10,
2020-05-12,BALLARAT,9,
2020-05-12,GREATER BENDIGO,9,
2020-05-12,MITCHELL,9,
2020-05-12,MACEDON RANGES,8,1
2020-05-12,LATROBE,7,
2020-05-12,MOUNT ALEXANDER,6,
2020-05-12,ARARAT,5*,
2020-05-12,BAW BAW,5,
2020-05-12,MILDURA,5,
2020-05-12,SOUTH GIPPSLAND,5,
2020-05-12,WARRNAMBOOL,5,
2020-05-12,BASS COAST,4,
2020-05-12,BENALLA,3,
2020-05-12,HORSHAM,3,
2020-05-12,LODDON,3,
2020-05-12,MANSFIELD,3,
2020-05-12,NORTHERN GRAMPIANS,3,
2020-05-12,SWAN HILL,3,
2020-05-12,CAMPASPE,2,
2020-05-12,HEPBURN,2,
2020-05-12,MOORABOOL,2,1
2020-05-12,SOUTHERN GRAMPIANS,2,
2020-05-12,STRATHBOGIE,2,
2020-05-12,WANGARATTA,2,
2020-05-12,CENTRAL GOLDFIELDS,1,
2020-05-12,CORANGAMITE,1,
2020-05-12,EAST GIPPSLAND,1,
2020-05-12,GANNAWARRA,1,
2020-05-12,GLENELG,1,
2020-05-12,GOLDEN PLAINS,1,
2020-05-12,MOYNE,1,
2020-05-12,MURRINDINDI,1,
2020-05-12,WEST WIMMERA,1,
2020-05-12,WODONGA,1,
2020-05-12,YARRIAMBIACK,1,
2020-05-12,INTERSTATE,31,2
2020-05-12,OVERSEAS,7,
2020-05-12,TOTAL,1509,114
2020-05-13,LGA,Confirmed cases (ever),Active cases (current)
2020-05-13,BRIMBANK,59,17
2020-05-13,WYNDHAM,51,11
2020-05-13,MELBOURNE,82,8
2020-05-13,HUME,45,8
2020-05-13,WHITTLESEA,31,7
2020-05-13,MELTON,30,7
2020-05-13,YARRA,29,5
2020-05-13,BOROONDARA,65,4
2020-05-13,MORELAND,56,4
2020-05-13,GLEN EIRA,49,4
2020-05-13,MARIBYRNONG,16,4
2020-05-13,HOBSONS BAY,19,3
2020-05-13,MAROONDAH,14,3
2020-05-13,STONNINGTON,91,2
2020-05-13,BANYULE,88,2
2020-05-13,MORNINGTON PENINSULA,61,2
2020-05-13,PORT PHILLIP,48,2
2020-05-13,DAREBIN,38,2
2020-05-13,INTERSTATE,31,2
2020-05-13,YARRA RANGES,23,2
2020-05-13,CASEY,56,1
2020-05-13,MONASH,46,1
2020-05-13,FRANKSTON,38,1
2020-05-13,MOONEE VALLEY,37,1
2020-05-13,NILLUMBIK,25,1
2020-05-13,WHITEHORSE,23,1
2020-05-13,GREATER SHEPPARTON,11,1
2020-05-13,WELLINGTON,11,1
2020-05-13,BALLARAT,10,1
2020-05-13,MACEDON RANGES,8,1
2020-05-13,MOORABOOL,2,1
2020-05-13,GREATER GEELONG,64,
2020-05-13,BAYSIDE,31,
2020-05-13,MANNINGHAM,29,
2020-05-13,KINGSTON,26,
2020-05-13,CARDINIA,16,
2020-05-13,GREATER DANDENONG,15,
2020-05-13,KNOX,13,
2020-05-13,MOIRA,11,
2020-05-13,SURF COAST,10,
2020-05-13,GREATER BENDIGO,9,
2020-05-13,MITCHELL,9,
2020-05-13,LATROBE,7,
2020-05-13,OVERSEAS,7,
2020-05-13,MOUNT ALEXANDER,6,
2020-05-13,ARARAT,5*,
2020-05-13,BAW BAW,5,
2020-05-13,MILDURA,5,
2020-05-13,SOUTH GIPPSLAND,5,
2020-05-13,WARRNAMBOOL,5,
2020-05-13,BASS COAST,4,
2020-05-13,BENALLA,3,
2020-05-13,HORSHAM,3,
2020-05-13,LODDON,3,
2020-05-13,MANSFIELD,3,
2020-05-13,NORTHERN GRAMPIANS,3,
2020-05-13,SWAN HILL,3,
2020-05-13,CAMPASPE,2,
2020-05-13,HEPBURN,2,
2020-05-13,SOUTHERN GRAMPIANS,2,
2020-05-13,STRATHBOGIE,2,
2020-05-13,WANGARATTA,2,
2020-05-13,CENTRAL GOLDFIELDS,1,
2020-05-13,CORANGAMITE,1,
2020-05-13,EAST GIPPSLAND,1,
2020-05-13,GANNAWARRA,1,
2020-05-13,GLENELG,1,
2020-05-13,GOLDEN PLAINS,1,
2020-05-13,MOYNE,1,
2020-05-13,MURRINDINDI,1,
2020-05-13,WEST WIMMERA,1,
2020-05-13,WODONGA,1,
2020-05-13,YARRIAMBIACK,1,
2020-05-14,LGA,Confirmed cases (ever),Active cases (current)
2020-05-14,STONNINGTON,91,2
2020-05-14,BANYULE,88,2
2020-05-14,MELBOURNE,85,10
2020-05-14,BOROONDARA,65,4
2020-05-14,GREATER GEELONG,64,
2020-05-14,BRIMBANK,62,17
2020-05-14,MORNINGTON PENINSULA,61,2
2020-05-14,CASEY,56,1
2020-05-14,MORELAND,56,4
2020-05-14,WYNDHAM,51,12
2020-05-14,GLEN EIRA,49,4
2020-05-14,PORT PHILLIP,48,2
2020-05-14,HUME,47,9
2020-05-14,MONASH,46,1
2020-05-14,DAREBIN,38,1
2020-05-14,FRANKSTON,38,
2020-05-14,MOONEE VALLEY,37,1
2020-05-14,BAYSIDE,31,
2020-05-14,INTERSTATE,31,2
2020-05-14,MELTON,31,7
2020-05-14,WHITTLESEA,30,4
2020-05-14,MANNINGHAM,29,
2020-05-14,YARRA,29,5
2020-05-14,KINGSTON,26,
2020-05-14,NILLUMBIK,25,1
2020-05-14,WHITEHORSE,23,
2020-05-14,YARRA RANGES,23,2
2020-05-14,HOBSONS BAY,19,2
2020-05-14,CARDINIA,16,
2020-05-14,MARIBYRNONG,16,2
2020-05-14,GREATER DANDENONG,15,
2020-05-14,MAROONDAH,14,2
2020-05-14,KNOX,13,
2020-05-14,GREATER SHEPPARTON,11,1
2020-05-14,MOIRA,11,
2020-05-14,WELLINGTON,11,1
2020-05-14,BALLARAT,10,1
2020-05-14,SURF COAST,10,
2020-05-14,GREATER BENDIGO,9,
2020-05-14,MITCHELL,9,
2020-05-14,MACEDON RANGES,8,1
2020-05-14,LATROBE,7,
2020-05-14,OVERSEAS,7,
2020-05-14,MOUNT ALEXANDER,6,
2020-05-14,ARARAT*,5,
2020-05-14,BAW BAW,5,
2020-05-14,MILDURA,5,
2020-05-14,SOUTH GIPPSLAND,5,
2020-05-14,WARRNAMBOOL,5,
2020-05-14,BASS COAST,4,
2020-05-14,BENALLA,3,
2020-05-14,HORSHAM,3,
2020-05-14,LODDON,3,
2020-05-14,MANSFIELD,3,
2020-05-14,NORTHERN GRAMPIANS,3,
2020-05-14,SWAN HILL,3,
2020-05-14,CAMPASPE,2,
2020-05-14,HEPBURN,2,
2020-05-14,MOORABOOL,2,1
2020-05-14,SOUTHERN GRAMPIANS,2,
2020-05-14,STRATHBOGIE,2,
2020-05-14,WANGARATTA,2,
2020-05-14,CENTRAL GOLDFIELDS,1,
2020-05-14,CORANGAMITE,1,
2020-05-14,EAST GIPPSLAND,1,
2020-05-14,GANNAWARRA,1,
2020-05-14,GLENELG,1,
2020-05-14,GOLDEN PLAINS,1,
2020-05-14,MOYNE,1,
2020-05-14,MURRINDINDI,1,
2020-05-14,WEST WIMMERA,1,
2020-05-14,WODONGA,1,
2020-05-14,YARRIAMBIACK,1,
2020-05-14,UNKNOWN,1,1
2020-05-14,Total,1523,105
2020-05-15,LGA,Confirmed cases (ever),Active cases (current)
2020-05-15,STONNINGTON,91,1
2020-05-15,MELBOURNE,90,13
2020-05-15,BANYULE,88,2
2020-05-15,BOROONDARA,65,4
